date-time,qty,charging
2025-10-26 00:00,52,false
2025-10-26 00:30,49,false
2025-10-26 01:00,44,false
2025-10-26 03:00,86,true
2025-10-26 04:00,86,true
2025-10-26 05:00,95,true
2025-10-26 06:00,100,true
2025-10-26 07:00,100,false
2025-10-26 08:00,100,false
2025-10-26 09:00,98,false
2025-10-26 10:00,90,false
2025-10-26 11:00,74,false
2025-10-26 12:00,65,false
2025-10-26 13:00,48,false
2025-10-26 13:30,44,false
2025-10-26 14:00,41,false
2025-10-26 14:30,37,false
2025-10-26 15:00,27,false
2025-10-26 15:30,70,true
2025-10-26 16:00,90,true
2025-10-26 16:30,97,false
2025-10-26 17:00,96,false
2025-10-26 17:30,95,false
2025-10-26 18:00,91,false
2025-10-26 18:30,80,false
2025-10-26 18:45,75,false
2025-10-26 19:00,71,false
2025-10-26 19:15,67,false
2025-10-26 19:30,63,false
2025-10-26 19:45,59,false
2025-10-26 20:00,52,false
2025-10-26 20:15,45,false
2025-10-26 20:30,42,false
2025-10-26 20:45,37,false
2025-10-26 21:00,34,false
2025-10-26 21:15,31,false
2025-10-26 21:30,28,false
2025-10-26 21:45,24,false
2025-10-26 22:00,21,false
2025-10-26 22:15,18,false
2025-10-26 22:30,32,true
2025-10-26 22:45,45,true
2025-10-26 23:00,57,true
2025-10-26 23:15,68,true
2025-10-26 23:30,80,true
2025-10-26 23:45,89,true
